,date_game,team_name,opposing_team,team_avg_allowed,opp_avg_allowed
0,2016-10-27,Atlanta Hawks,Washington Wizards,,
1,2016-10-29,Atlanta Hawks,Philadelphia 76ers,99.0,103.0
2,2016-10-31,Atlanta Hawks,Sacramento Kings,85.5,99.66666666666667
3,2016-11-02,Atlanta Hawks,Los Angeles Lakers,88.66666666666667,109.5
4,2016-11-04,Atlanta Hawks,Washington Wizards,97.25,113.0
5,2016-11-05,Atlanta Hawks,Houston Rockets,96.8,107.4
6,2016-11-08,Atlanta Hawks,Cleveland Cavaliers,96.83333333333333,103.5
7,2016-11-09,Atlanta Hawks,Chicago Bulls,98.14285714285714,100.42857142857143
8,2016-11-12,Atlanta Hawks,Philadelphia 76ers,99.25,107.125
9,2016-11-15,Atlanta Hawks,Miami Heat,98.88888888888889,98.0
10,2016-11-16,Atlanta Hawks,Milwaukee Bucks,98.0,102.0
11,2016-11-18,Atlanta Hawks,Charlotte Hornets,98.18181818181819,99.8
12,2016-11-20,Atlanta Hawks,New York Knicks,98.33333333333333,107.16666666666667
13,2016-11-22,Atlanta Hawks,New Orleans Pelicans,98.76923076923077,107.57142857142857
14,2016-11-23,Atlanta Hawks,Indiana Pacers,99.71428571428571,108.6
15,2016-11-25,Atlanta Hawks,Utah Jazz,98.73333333333333,94.375
16,2016-11-27,Atlanta Hawks,Los Angeles Lakers,98.5,111.88235294117646
17,2016-11-28,Atlanta Hawks,Golden State Warriors,99.11764705882354,105.17647058823529
18,2016-11-30,Atlanta Hawks,Phoenix Suns,99.44444444444444,112.16666666666667
19,2016-12-02,Atlanta Hawks,Detroit Pistons,99.94736842105263,97.5
20,2016-12-03,Atlanta Hawks,Toronto Raptors,101.0,103.05263157894737
21,2016-12-05,Atlanta Hawks,Oklahoma City Thunder,102.28571428571429,105.0952380952381
22,2016-12-07,Atlanta Hawks,Miami Heat,102.27272727272727,99.57142857142857
23,2016-12-09,Atlanta Hawks,Milwaukee Bucks,101.95652173913044,101.8
24,2016-12-13,Atlanta Hawks,Orlando Magic,102.29166666666667,100.08
25,2016-12-16,Atlanta Hawks,Toronto Raptors,103.44,103.04
26,2016-12-17,Atlanta Hawks,Charlotte Hornets,104.11538461538461,102.22222222222223
27,2016-12-19,Atlanta Hawks,Oklahoma City Thunder,104.22222222222223,104.74074074074075
28,2016-12-21,Atlanta Hawks,Minnesota Timberwolves,104.35714285714286,106.92592592592592
29,2016-12-23,Atlanta Hawks,Denver Nuggets,103.93103448275862,109.6896551724138
30,2016-12-26,Atlanta Hawks,Minnesota Timberwolves,104.06666666666666,106.4
31,2016-12-28,Atlanta Hawks,New York Knicks,104.23333333333333,107.93333333333334
32,2016-12-30,Atlanta Hawks,Detroit Pistons,105.1,99.53333333333333
33,2017-01-01,Atlanta Hawks,San Antonio Spurs,105.2,98.5
34,2017-01-04,Atlanta Hawks,Orlando Magic,104.83333333333333,104.03333333333333
35,2017-01-05,Atlanta Hawks,New Orleans Pelicans,104.73333333333333,105.1
36,2017-01-07,Atlanta Hawks,Dallas Mavericks,104.63333333333334,100.7
37,2017-01-10,Atlanta Hawks,Brooklyn Nets,103.83333333333333,115.36666666666666
38,2017-01-13,Atlanta Hawks,Boston Celtics,103.5,103.66666666666667
39,2017-01-15,Atlanta Hawks,Milwaukee Bucks,103.73333333333333,103.26666666666667
40,2017-01-16,Atlanta Hawks,New York Knicks,104.0,109.1
41,2017-01-18,Atlanta Hawks,Detroit Pistons,104.23333333333333,102.6
42,2017-01-20,Atlanta Hawks,Chicago Bulls,104.83333333333333,102.83333333333333
