,date_game,team_name,opposing_team,team_avg_allowed,opp_avg_allowed
0,2017-10-18,Atlanta Hawks,Dallas Mavericks,,
1,2017-10-20,Atlanta Hawks,Charlotte Hornets,111.0,102.0
2,2017-10-22,Atlanta Hawks,Brooklyn Nets,110.0,130.5
3,2017-10-23,Atlanta Hawks,Miami Heat,112.0,112.0
4,2017-10-26,Atlanta Hawks,Chicago Bulls,110.0,107.66666666666667
5,2017-10-27,Atlanta Hawks,Denver Nuggets,106.2,101.0
6,2017-10-29,Atlanta Hawks,Milwaukee Bucks,106.0,103.2
7,2017-11-01,Atlanta Hawks,Philadelphia 76ers,107.57142857142857,108.28571428571429
8,2017-11-03,Atlanta Hawks,Houston Rockets,109.0,102.44444444444444
9,2017-11-05,Atlanta Hawks,Cleveland Cavaliers,110.11111111111111,113.0
10,2017-11-06,Atlanta Hawks,Boston Celtics,110.6,93.2
11,2017-11-10,Atlanta Hawks,Detroit Pistons,110.54545454545455,100.81818181818181
12,2017-11-11,Atlanta Hawks,Washington Wizards,110.58333333333333,108.27272727272727
13,2017-11-13,Atlanta Hawks,New Orleans Pelicans,110.76923076923077,107.15384615384616
14,2017-11-15,Atlanta Hawks,Sacramento Kings,110.42857142857143,105.6923076923077
15,2017-11-18,Atlanta Hawks,Boston Celtics,108.4,94.125
16,2017-11-20,Atlanta Hawks,San Antonio Spurs,108.5,99.0625
17,2017-11-22,Atlanta Hawks,Los Angeles Clippers,107.76470588235294,106.5625
18,2017-11-24,Atlanta Hawks,New York Knicks,108.22222222222223,103.3529411764706
19,2017-11-25,Atlanta Hawks,Toronto Raptors,108.0,103.94444444444444
20,2017-11-30,Atlanta Hawks,Cleveland Cavaliers,108.2,108.52380952380952
21,2017-12-02,Atlanta Hawks,Brooklyn Nets,108.80952380952381,113.23809523809524
22,2017-12-04,Atlanta Hawks,Brooklyn Nets,108.5,113.27272727272727
23,2017-12-06,Atlanta Hawks,Orlando Magic,108.56521739130434,111.04
24,2017-12-09,Atlanta Hawks,Orlando Magic,108.625,110.55555555555556
25,2017-12-10,Atlanta Hawks,New York Knicks,108.68,103.64
26,2017-12-12,Atlanta Hawks,Cleveland Cavaliers,108.76923076923077,107.18518518518519
