,date_game,team_name,opposing_team,team_avg_allowed,opp_avg_allowed
0,2014-10-29,Atlanta Hawks,Toronto Raptors,,
1,2014-11-01,Atlanta Hawks,Indiana Pacers,109.0,94.0
2,2014-11-05,Atlanta Hawks,San Antonio Spurs,100.5,97.0
3,2014-11-07,Atlanta Hawks,Charlotte Hornets,98.33333333333333,92.4
4,2014-11-08,Atlanta Hawks,New York Knicks,104.25,98.83333333333333
5,2014-11-10,Atlanta Hawks,New York Knicks,102.6,99.42857142857143
6,2014-11-12,Atlanta Hawks,Utah Jazz,99.66666666666667,102.5
7,2014-11-14,Atlanta Hawks,Miami Heat,99.28571428571429,95.75
8,2014-11-15,Atlanta Hawks,Cleveland Cavaliers,99.75,105.57142857142857
9,2014-11-18,Atlanta Hawks,Los Angeles Lakers,102.77777777777777,112.1
10,2014-11-21,Atlanta Hawks,Detroit Pistons,103.9,96.91666666666667
11,2014-11-25,Atlanta Hawks,Washington Wizards,102.54545454545455,95.91666666666667
12,2014-11-26,Atlanta Hawks,Toronto Raptors,102.5,95.07142857142857
13,2014-11-28,Atlanta Hawks,New Orleans Pelicans,104.3076923076923,99.92307692307692
14,2014-11-29,Atlanta Hawks,Charlotte Hornets,103.35714285714286,100.88235294117646
15,2014-12-02,Atlanta Hawks,Boston Celtics,101.46666666666667,107.57142857142857
16,2014-12-03,Atlanta Hawks,Miami Heat,101.6875,97.0
17,2014-12-05,Atlanta Hawks,Brooklyn Nets,101.70588235294117,99.52941176470588
18,2014-12-07,Atlanta Hawks,Denver Nuggets,100.22222222222223,105.94736842105263
19,2014-12-08,Atlanta Hawks,Indiana Pacers,99.36842105263158,96.3
20,2014-12-10,Atlanta Hawks,Philadelphia 76ers,99.0,104.05
21,2014-12-12,Atlanta Hawks,Orlando Magic,98.04761904761905,99.70833333333333
22,2014-12-13,Atlanta Hawks,Orlando Magic,97.27272727272727,99.2
23,2014-12-15,Atlanta Hawks,Chicago Bulls,97.3913043478261,98.73913043478261
24,2014-12-17,Atlanta Hawks,Cleveland Cavaliers,96.91666666666667,98.91304347826087
25,2014-12-20,Atlanta Hawks,Houston Rockets,96.96,96.04
26,2014-12-22,Atlanta Hawks,Dallas Mavericks,96.96153846153847,102.39285714285714
27,2014-12-23,Atlanta Hawks,Los Angeles Clippers,97.14814814814815,101.07142857142857
