,date_game,team_name,opposing_team,team_avg_allowed,opp_avg_allowed
0,2015-10-27,Atlanta Hawks,Detroit Pistons,,
1,2015-10-29,Atlanta Hawks,New York Knicks,106.0,97.0
2,2015-10-30,Atlanta Hawks,Charlotte Hornets,103.5,104.0
3,2015-11-01,Atlanta Hawks,Charlotte Hornets,100.33333333333333,100.5
4,2015-11-03,Atlanta Hawks,Miami Heat,98.25,95.0
5,2015-11-04,Atlanta Hawks,Brooklyn Nets,97.0,105.25
6,2015-11-06,Atlanta Hawks,New Orleans Pelicans,95.33333333333333,115.0
7,2015-11-07,Atlanta Hawks,Washington Wizards,98.14285714285714,106.8
8,2015-11-09,Atlanta Hawks,Minnesota Timberwolves,98.25,96.8
9,2015-11-11,Atlanta Hawks,New Orleans Pelicans,100.33333333333333,113.28571428571429
10,2015-11-13,Atlanta Hawks,Boston Celtics,100.1,98.0
11,2015-11-15,Atlanta Hawks,Utah Jazz,100.63636363636364,91.33333333333333
12,2015-11-17,Atlanta Hawks,Brooklyn Nets,100.33333333333333,103.6
13,2015-11-18,Atlanta Hawks,Sacramento Kings,99.53846153846153,107.9090909090909
14,2015-11-21,Atlanta Hawks,Cleveland Cavaliers,99.35714285714286,96.66666666666667
15,2015-11-24,Atlanta Hawks,Boston Celtics,100.0,97.76923076923077
16,2015-11-25,Atlanta Hawks,Minnesota Timberwolves,99.8125,102.21428571428571
17,2015-11-27,Atlanta Hawks,Memphis Grizzlies,99.76470588235294,99.4375
18,2015-11-28,Atlanta Hawks,San Antonio Spurs,99.83333333333333,89.8125
19,2015-11-30,Atlanta Hawks,Oklahoma City Thunder,100.26315789473684,102.82352941176471
20,2015-12-02,Atlanta Hawks,Toronto Raptors,100.25,96.38888888888889
21,2015-12-04,Atlanta Hawks,Los Angeles Lakers,100.04761904761905,105.72222222222223
22,2015-12-09,Atlanta Hawks,Dallas Mavericks,99.45454545454545,100.45454545454545
23,2015-12-10,Atlanta Hawks,Oklahoma City Thunder,99.26086956521739,101.61904761904762
24,2015-12-12,Atlanta Hawks,San Antonio Spurs,99.58333333333333,88.625
25,2015-12-14,Atlanta Hawks,Miami Heat,99.72,93.86363636363636
26,2015-12-16,Atlanta Hawks,Philadelphia 76ers,99.73076923076923,103.3076923076923
27,2015-12-18,Atlanta Hawks,Boston Celtics,99.96296296296296,99.15384615384616
28,2015-12-20,Atlanta Hawks,Orlando Magic,100.0,98.3076923076923
