,date_game,game_start_time,team_name,team_pts,opposing_team,opposing_team_pts,box_score_text,game_remarks,Team Home?,Avg Team Pts,Avg Team FG,Avg Team FGA,Avg Team FG %,Avg Team 3P,Avg Team 3PA,Avg Team 3P%,Avg Team FT,Avg Team FTA,Avg Team FT%,Avg Team ORB,Avg Team DRB,Avg Team TRB,Avg Team AST,Avg Team STL,Avg Team BLK,Avg Team TOV,Avg Team PF,Team Time between previous game,Team_Win_Pct,Avg Opp Pts,Avg Opp FG,Avg Opp FGA,Avg Opp FG %,Avg Opp 3P,Avg Opp 3PA,Avg Opp 3P%,Avg Opp FT,Avg Opp FTA,Avg Opp FT%,Avg Opp ORB,Avg Opp DRB,Avg Opp TRB,Avg Opp AST,Avg Opp STL,Avg Opp BLK,Avg Opp TOV,Avg Opp PF,Opp Time between previous game,Opp_Win_Pct,Team B2B?,Opp B2B?,Team West?,Opp West?
1568,2017-02-13,8:00p,Oklahoma City Thunder,98,Washington Wizards,120,https://www.basketball-reference.com/boxscores/201702130WAS.html,,0,105.6,38.53333333333333,86.26666666666667,0.44793333333333335,8.166666666666666,26.0,0.3127666666666667,20.366666666666667,26.4,0.7722666666666662,12.233333333333333,33.86666666666667,46.1,20.266666666666666,7.5,5.4,14.133333333333333,20.966666666666665,2 days 00:00:00.000000000,0.5636363636363636,110.8,42.46666666666667,86.43333333333334,0.49316666666666686,9.6,25.366666666666667,0.38330000000000014,16.266666666666666,20.6,0.7908000000000004,9.9,34.166666666666664,44.06666666666667,25.133333333333333,8.233333333333333,4.333333333333333,13.266666666666667,20.666666666666668,3 days 00:00:00.000000000,0.6037735849056604,0,0,1,0
1572,2017-02-28,8:00p,Oklahoma City Thunder,109,Utah Jazz,106,https://www.basketball-reference.com/boxscores/201702280OKC.html,,1,105.93333333333334,38.733333333333334,87.3,0.4452666666666667,8.2,26.133333333333333,0.3126999999999999,20.266666666666666,26.533333333333335,0.7639666666666663,12.6,34.63333333333333,47.233333333333334,20.433333333333334,7.533333333333333,5.266666666666667,14.566666666666666,21.0,2 days 00:00:00.000000000,0.576271186440678,101.46666666666667,36.86666666666667,79.76666666666667,0.4628999999999999,9.4,25.633333333333333,0.36373333333333335,18.333333333333332,24.5,0.7440666666666668,10.0,33.733333333333334,43.733333333333334,20.0,7.533333333333333,4.466666666666667,13.266666666666667,18.633333333333333,2 days 00:00:00.000000000,0.6271186440677966,0,0,1,UTA
1573,2017-03-02,10:30p,Oklahoma City Thunder,109,Portland Trail Blazers,114,https://www.basketball-reference.com/boxscores/201703020POR.html,,0,105.66666666666667,38.666666666666664,87.16666666666667,0.4452666666666667,8.333333333333334,26.0,0.3213333333333333,20.0,26.1,0.764933333333333,12.466666666666667,34.7,47.166666666666664,20.2,7.533333333333333,5.3,14.6,20.866666666666667,2 days 00:00:00.000000000,0.5833333333333334,105.5,38.93333333333333,85.7,0.4557000000000001,9.633333333333333,26.766666666666666,0.3591666666666669,18.0,23.5,0.7657333333333335,10.333333333333334,34.233333333333334,44.56666666666667,21.333333333333332,6.766666666666667,4.966666666666667,13.733333333333333,21.466666666666665,2 days 00:00:00.000000000,0.4067796610169492,0,0,1,1
1574,2017-03-03,9:00p,Oklahoma City Thunder,111,Phoenix Suns,118,https://www.basketball-reference.com/boxscores/201703030PHO.html,,0,105.56666666666666,38.4,87.3,0.44136666666666663,8.433333333333334,26.166666666666668,0.3228666666666666,20.333333333333332,26.366666666666667,0.768433333333333,12.566666666666666,34.53333333333333,47.1,19.7,7.566666666666666,5.4,14.5,20.9,1 days 00:00:00.000000000,0.5737704918032787,107.26666666666667,39.56666666666667,85.93333333333334,0.4617333333333335,7.466666666666667,21.266666666666666,0.3513666666666667,20.666666666666668,25.4,0.811433333333334,11.733333333333333,31.4,43.13333333333333,19.833333333333332,7.8,4.6,14.833333333333334,24.066666666666666,1 days 00:00:00.000000000,0.3114754098360656,1,1,1,1
1576,2017-03-07,8:00p,Oklahoma City Thunder,121,Portland Trail Blazers,126,https://www.basketball-reference.com/boxscores/201703070OKC.html,,1,106.03333333333333,38.5,87.73333333333333,0.4406,8.5,26.7,0.3196333333333332,20.533333333333335,26.433333333333334,0.7729666666666664,12.433333333333334,35.03333333333333,47.46666666666667,19.8,7.766666666666667,5.266666666666667,14.466666666666667,21.3,2 days 00:00:00.000000000,0.5555555555555556,106.43333333333334,39.333333333333336,85.93333333333334,0.45930000000000004,10.033333333333333,26.6,0.37673333333333364,17.733333333333334,23.133333333333333,0.7655666666666667,10.033333333333333,34.46666666666667,44.5,21.433333333333334,7.0,5.133333333333334,13.766666666666667,20.833333333333332,3 days 00:00:00.000000000,0.4262295081967213,0,0,1,1
1577,2017-03-09,8:00p,Oklahoma City Thunder,102,San Antonio Spurs,92,https://www.basketball-reference.com/boxscores/201703090OKC.html,,1,106.26666666666667,38.733333333333334,87.96666666666667,0.44206666666666666,8.5,26.566666666666666,0.32146666666666657,20.3,26.266666666666666,0.7699666666666664,12.566666666666666,34.733333333333334,47.3,19.5,7.6,5.1,14.733333333333333,21.466666666666665,2 days 00:00:00.000000000,0.546875,108.43333333333334,40.43333333333333,85.7,0.47323333333333345,9.133333333333333,24.133333333333333,0.3835666666666668,18.433333333333334,23.433333333333334,0.7875333333333338,9.833333333333334,35.166666666666664,45.0,24.4,7.966666666666667,6.166666666666667,12.433333333333334,18.633333333333333,1 days 00:00:00.000000000,0.7936507936507936,0,1,1,1
1578,2017-03-11,3:00p,Oklahoma City Thunder,112,Utah Jazz,104,https://www.basketball-reference.com/boxscores/201703110OKC.html,,1,106.53333333333333,38.9,88.33333333333333,0.4420333333333334,8.4,26.333333333333332,0.3203666666666666,20.333333333333332,26.333333333333332,0.7693999999999996,12.8,34.766666666666666,47.56666666666667,19.6,7.7,5.033333333333333,14.766666666666667,21.533333333333335,2 days 00:00:00.000000000,0.5538461538461539,102.33333333333333,37.4,81.0,0.4626999999999999,9.366666666666667,25.9,0.3578666666666667,18.166666666666668,24.133333333333333,0.7464000000000002,10.2,33.7,43.9,20.6,7.533333333333333,4.333333333333333,13.2,19.266666666666666,3 days 00:00:00.000000000,0.6307692307692307,0,0,1,UTA
1580,2017-03-16,7:00p,Oklahoma City Thunder,123,Toronto Raptors,102,https://www.basketball-reference.com/boxscores/201703160TOR.html,,0,106.73333333333333,39.03333333333333,87.93333333333334,0.44553333333333334,8.3,25.833333333333332,0.3237999999999999,20.366666666666667,26.6,0.7632333333333329,12.633333333333333,34.333333333333336,46.96666666666667,20.133333333333333,7.966666666666667,5.066666666666666,14.833333333333334,21.366666666666667,2 days 00:00:00.000000000,0.5671641791044776,102.96666666666667,38.13333333333333,84.03333333333333,0.45473333333333327,8.1,24.2,0.33626666666666677,18.6,23.6,0.7881999999999998,10.366666666666667,33.2,43.56666666666667,16.9,7.4,5.033333333333333,11.6,20.833333333333332,3 days 00:00:00.000000000,0.582089552238806,0,0,1,0
1581,2017-03-18,3:00p,Oklahoma City Thunder,110,Sacramento Kings,94,https://www.basketball-reference.com/boxscores/201703180OKC.html,,1,106.8,39.166666666666664,87.9,0.4472333333333333,8.366666666666667,25.466666666666665,0.3313666666666666,20.1,26.266666666666666,0.7630999999999997,12.766666666666667,34.13333333333333,46.9,20.466666666666665,8.033333333333333,4.733333333333333,15.1,21.433333333333334,2 days 00:00:00.000000000,0.5735294117647058,104.16666666666667,38.3,81.73333333333333,0.46943333333333326,9.533333333333333,24.3,0.39449999999999996,18.033333333333335,23.233333333333334,0.7782333333333331,8.433333333333334,33.03333333333333,41.46666666666667,23.466666666666665,7.933333333333334,4.1,15.1,20.933333333333334,3 days 00:00:00.000000000,0.39705882352941174,0,0,1,1
1583,2017-03-22,8:00p,Oklahoma City Thunder,122,Philadelphia 76ers,97,https://www.basketball-reference.com/boxscores/201703220OKC.html,,1,106.56666666666666,39.0,88.06666666666666,0.44439999999999996,8.333333333333334,25.366666666666667,0.33053333333333323,20.233333333333334,26.8,0.7546999999999997,13.033333333333333,33.666666666666664,46.7,20.133333333333333,8.266666666666667,4.633333333333334,15.0,21.6,2 days 00:00:00.000000000,0.5714285714285714,106.56666666666666,39.233333333333334,86.6,0.4547,9.733333333333333,28.5,0.3420999999999998,18.366666666666667,23.6,0.7726666666666667,9.6,33.03333333333333,42.63333333333333,25.5,9.3,4.833333333333333,15.866666666666667,22.366666666666667,2 days 00:00:00.000000000,0.37142857142857144,0,0,1,0
1586,2017-03-29,7:00p,Oklahoma City Thunder,114,Orlando Magic,106,https://www.basketball-reference.com/boxscores/201703290ORL.html,,0,107.66666666666667,39.766666666666666,88.3,0.45186666666666664,8.3,25.066666666666666,0.33299999999999985,19.833333333333332,26.5,0.7495999999999997,13.1,34.13333333333333,47.233333333333334,20.566666666666666,8.2,4.9,14.9,21.433333333333334,2 days 00:00:00.000000000,0.5753424657534246,101.73333333333333,38.3,86.96666666666667,0.44016666666666693,7.5,25.033333333333335,0.30049999999999993,17.633333333333333,23.233333333333334,0.7557000000000001,10.233333333333333,33.233333333333334,43.46666666666667,21.5,7.366666666666666,4.3,12.966666666666667,20.666666666666668,2 days 00:00:00.000000000,0.36486486486486486,0,0,1,0
1587,2017-03-31,8:00p,Oklahoma City Thunder,95,San Antonio Spurs,100,https://www.basketball-reference.com/boxscores/201703310OKC.html,,1,108.13333333333334,39.93333333333333,88.7,0.45186666666666664,8.366666666666667,25.233333333333334,0.3335666666666665,19.9,26.8,0.7429666666666664,13.033333333333333,34.9,47.93333333333333,20.4,8.2,4.933333333333334,14.666666666666666,21.366666666666667,2 days 00:00:00.000000000,0.581081081081081,103.86666666666666,38.666666666666664,84.56666666666666,0.45843333333333336,8.9,24.766666666666666,0.3610000000000001,17.633333333333333,22.566666666666666,0.7810333333333337,10.7,34.43333333333333,45.13333333333333,23.4,8.266666666666667,6.166666666666667,13.533333333333333,18.533333333333335,2 days 00:00:00.000000000,0.7702702702702703,0,0,1,1
1591,2016-11-01,7:00p,Orlando Magic,103,Philadelphia 76ers,101,https://www.basketball-reference.com/boxscores/201611010PHI.html,,0,92.33333333333333,35.0,89.33333333333333,0.39366666666666666,7.333333333333333,24.0,0.309,15.0,22.0,0.6766666666666667,14.0,32.333333333333336,46.333333333333336,20.333333333333332,6.333333333333333,4.0,13.333333333333334,17.0,3 days 00:00:00.000000000,0.0,84.5,32.0,82.0,0.38949999999999996,6.0,21.0,0.28500000000000003,14.5,20.0,0.7264999999999999,4.5,36.5,41.0,18.5,7.0,7.5,16.5,21.0,3 days 00:00:00.000000000,0.0,0,0,0,0
1592,2016-11-03,7:00p,Orlando Magic,102,Sacramento Kings,94,https://www.basketball-reference.com/boxscores/201611030ORL.html,,1,95.0,36.75,90.25,0.40825,7.0,24.25,0.29175,14.5,20.75,0.6987500000000001,13.5,31.0,44.5,22.5,6.5,4.5,12.5,16.5,2 days 00:00:00.000000000,0.25,100.8,36.2,81.0,0.4466,7.2,22.6,0.3168,21.2,27.0,0.7738,8.4,32.2,40.6,21.6,6.4,4.0,15.0,24.4,2 days 00:00:00.000000000,0.4,0,0,0,1
1593,2016-11-05,7:00p,Orlando Magic,88,Washington Wizards,86,https://www.basketball-reference.com/boxscores/201611050ORL.html,,1,96.4,37.0,89.0,0.417,7.6,25.4,0.3,14.8,21.2,0.6982000000000002,13.4,31.0,44.4,22.8,6.2,4.4,12.8,16.0,2 days 00:00:00.000000000,0.4,100.0,37.75,83.0,0.45975,4.75,18.75,0.2625,19.75,25.5,0.76725,9.25,31.25,40.5,19.5,9.25,4.0,18.0,21.5,1 days 00:00:00.000000000,0.25,0,1,0,0
1596,2016-11-11,7:00p,Orlando Magic,74,Utah Jazz,87,https://www.basketball-reference.com/boxscores/201611110ORL.html,,1,94.625,35.875,86.625,0.414625,8.0,26.125,0.30675,14.875,21.125,0.7151250000000001,11.875,31.0,42.875,22.875,5.375,4.875,11.875,17.25,2 days 00:00:00.000000000,0.375,98.33333333333333,35.77777777777778,78.33333333333333,0.456,9.555555555555555,25.333333333333332,0.3846666666666666,17.22222222222222,23.333333333333332,0.7487777777777777,7.888888888888889,33.0,40.888888888888886,19.0,6.666666666666667,5.555555555555555,12.11111111111111,20.22222222222222,2 days 00:00:00.000000000,0.5555555555555556,0,0,0,UTA
