,date_game,team_name,opposing_team,Team TS%,Team eFG%,Team ORtg,Opp TS%,Opp eFG%,Opp ORtg
0,2016-10-27,Atlanta Hawks,Washington Wizards,,,,,,
1,2016-10-29,Atlanta Hawks,Philadelphia 76ers,0.594,0.568,110.2,0.511,0.47,96.7
2,2016-10-31,Atlanta Hawks,Sacramento Kings,0.5705,0.546,106.95,0.5579999999999999,0.5006666666666667,112.86666666666667
3,2016-11-02,Atlanta Hawks,Los Angeles Lakers,0.5576666666666666,0.5263333333333334,109.0,0.52925,0.48350000000000004,103.225
4,2016-11-04,Atlanta Hawks,Washington Wizards,0.5665,0.5315000000000001,110.3,0.547,0.5106666666666667,102.16666666666667
5,2016-11-05,Atlanta Hawks,Houston Rockets,0.5462,0.5084000000000001,106.25999999999999,0.582,0.5494,115.44000000000001
6,2016-11-08,Atlanta Hawks,Cleveland Cavaliers,0.5528333333333333,0.5196666666666667,106.94999999999999,0.5728333333333333,0.5305,115.41666666666667
7,2016-11-09,Atlanta Hawks,Chicago Bulls,0.5597142857142857,0.5274285714285715,107.77142857142857,0.5521428571428572,0.502,114.07142857142857
8,2016-11-12,Atlanta Hawks,Philadelphia 76ers,0.5655,0.5315000000000001,108.575,0.51725,0.48675000000000007,96.5125
9,2016-11-15,Atlanta Hawks,Miami Heat,0.5668888888888889,0.5362222222222223,109.5888888888889,0.49944444444444447,0.47200000000000003,100.15555555555557
10,2016-11-16,Atlanta Hawks,Milwaukee Bucks,0.5628,0.5326000000000001,108.13000000000002,0.5498888888888889,0.51,107.16666666666667
11,2016-11-18,Atlanta Hawks,Charlotte Hornets,0.5684545454545454,0.5347272727272728,108.14545454545456,0.5462,0.5037,108.7
12,2016-11-20,Atlanta Hawks,New York Knicks,0.5648333333333334,0.5323333333333334,107.15833333333335,0.5325000000000001,0.4986666666666666,107.61666666666666
13,2016-11-22,Atlanta Hawks,New Orleans Pelicans,0.5583846153846154,0.5248461538461539,106.45384615384616,0.5237142857142857,0.48107142857142854,102.07142857142856
14,2016-11-23,Atlanta Hawks,Indiana Pacers,0.5560714285714285,0.5243571428571429,105.87857142857145,0.5346666666666666,0.49926666666666664,104.24
15,2016-11-25,Atlanta Hawks,Utah Jazz,0.5528,0.5196000000000001,105.37333333333335,0.5478124999999999,0.5094375,106.56875000000001
16,2016-11-27,Atlanta Hawks,Los Angeles Lakers,0.5423125,0.5096875000000001,103.31250000000001,0.558470588235294,0.5174705882352941,108.6470588235294
17,2016-11-28,Atlanta Hawks,Golden State Warriors,0.5403529411764706,0.509764705882353,103.07647058823531,0.6113529411764707,0.5774117647058823,118.3764705882353
18,2016-11-30,Atlanta Hawks,Phoenix Suns,0.5386111111111112,0.5072777777777778,102.8777777777778,0.5276666666666667,0.4837777777777777,103.04999999999997
19,2016-12-02,Atlanta Hawks,Detroit Pistons,0.540421052631579,0.509842105263158,103.01578947368422,0.5223499999999999,0.4879500000000001,106.44500000000002
20,2016-12-03,Atlanta Hawks,Toronto Raptors,0.53535,0.5042500000000001,102.305,0.5769473684210527,0.530421052631579,116.2
21,2016-12-05,Atlanta Hawks,Oklahoma City Thunder,0.5310952380952381,0.5010952380952381,101.61428571428571,0.5417619047619048,0.5084761904761905,107.41428571428573
22,2016-12-07,Atlanta Hawks,Miami Heat,0.5316363636363636,0.5004545454545455,101.48636363636365,0.5085714285714286,0.4805714285714287,104.03809523809525
23,2016-12-09,Atlanta Hawks,Milwaukee Bucks,0.5321739130434783,0.5009130434782609,101.91304347826089,0.5490499999999999,0.50965,107.39000000000001
24,2016-12-13,Atlanta Hawks,Orlando Magic,0.5345416666666667,0.5028750000000001,102.25833333333334,0.50688,0.47440000000000004,101.088
25,2016-12-16,Atlanta Hawks,Toronto Raptors,0.5376000000000001,0.50544,103.11200000000001,0.5834,0.5359200000000002,118.796
26,2016-12-17,Atlanta Hawks,Charlotte Hornets,0.5409615384615385,0.5090384615384616,104.1846153846154,0.5364814814814816,0.49285185185185193,106.51851851851849
27,2016-12-19,Atlanta Hawks,Oklahoma City Thunder,0.5406296296296297,0.5095555555555555,104.14074074074075,0.5377777777777778,0.502,106.7888888888889
28,2016-12-21,Atlanta Hawks,Minnesota Timberwolves,0.5442857142857144,0.5130357142857143,104.63214285714287,0.5454444444444444,0.5007407407407407,109.17777777777776
29,2016-12-23,Atlanta Hawks,Denver Nuggets,0.5420344827586208,0.5111034482758621,104.32758620689657,0.5429310344827587,0.5034827586206897,109.14482758620689
30,2016-12-26,Atlanta Hawks,Minnesota Timberwolves,0.5420333333333335,0.5099666666666667,104.55333333333334,0.5453333333333333,0.5007333333333333,109.25666666666666
31,2016-12-28,Atlanta Hawks,New York Knicks,0.5388000000000001,0.5067,104.21666666666668,0.5360666666666667,0.49789999999999995,108.96666666666664
32,2016-12-30,Atlanta Hawks,Detroit Pistons,0.5356333333333334,0.5026,104.02333333333335,0.5245333333333333,0.49256666666666676,105.74666666666668
33,2017-01-01,Atlanta Hawks,San Antonio Spurs,0.5355666666666667,0.5026666666666668,103.8966666666667,0.575,0.5317333333333334,112.36333333333337
34,2017-01-04,Atlanta Hawks,Orlando Magic,0.5341000000000001,0.5022000000000001,103.85000000000005,0.5275,0.49863333333333343,104.76333333333335
35,2017-01-05,Atlanta Hawks,New Orleans Pelicans,0.5394000000000001,0.5085000000000001,104.69666666666672,0.5342666666666669,0.4970666666666667,104.82999999999997
36,2017-01-07,Atlanta Hawks,Dallas Mavericks,0.5368,0.5050333333333333,104.41000000000005,0.5372999999999999,0.5011666666666666,106.0633333333333
